seconds_elapsed,strength_state,away_on_1,away_on_2,away_on_3,away_on_4,away_on_5,away_on_6,away_on_1_id,away_on_2_id,away_on_3_id,away_on_4_id,away_on_5_id,away_on_6_id,home_on_1,home_on_2,home_on_3,home_on_4,home_on_5,home_on_6,home_on_1_id,home_on_2_id,home_on_3_id,home_on_4_id,home_on_5_id,home_on_6_id,away_goalie,home_goalie,away_goalie_id,home_goalie_id
0,5v5,NIKITA ZADOROV,DAVID PASTRNAK,PAVEL ZACHA,MORGAN GEEKIE,HENRI JOKIHARJU,,8477507,8477956,8478401,8479987,8480035,,TYLER TOFFOLI,ALEXANDER WENNBERG,MARIO FERRARO,SHAKIR MUKHAMADULLIN,COLLIN GRAF,,8475726,8477505,8479983,8482166,8484911,,JOONAS KORPISALO,ALEXANDAR GEORGIEV,8476914,8480382
1,5v5,NIKITA ZADOROV,DAVID PASTRNAK,PAVEL ZACHA,MORGAN GEEKIE,HENRI JOKIHARJU,,8477507,8477956,8478401,8479987,8480035,,TYLER TOFFOLI,ALEXANDER WENNBERG,MARIO FERRARO,SHAKIR MUKHAMADULLIN,COLLIN GRAF,,8475726,8477505,8479983,8482166,8484911,,JOONAS KORPISALO,ALEXANDAR GEORGIEV,8476914,8480382
2,5v5,NIKITA ZADOROV,DAVID PASTRNAK,PAVEL ZACHA,MORGAN GEEKIE,HENRI JOKIHARJU,,8477507,8477956,8478401,8479987,8480035,,TYLER TOFFOLI,ALEXANDER WENNBERG,MARIO FERRARO,SHAKIR MUKHAMADULLIN,COLLIN GRAF,,8475726,8477505,8479983,8482166,8484911,,JOONAS KORPISALO,ALEXANDAR GEORGIEV,8476914,8480382
3,5v5,NIKITA ZADOROV,DAVID PASTRNAK,PAVEL ZACHA,MORGAN GEEKIE,HENRI JOKIHARJU,,8477507,8477956,8478401,8479987,8480035,,TYLER TOFFOLI,ALEXANDER WENNBERG,MARIO FERRARO,SHAKIR MUKHAMADULLIN,COLLIN GRAF,,8475726,8477505,8479983,8482166,8484911,,JOONAS KORPISALO,ALEXANDAR GEORGIEV,8476914,8480382
4,5v5,NIKITA ZADOROV,DAVID PASTRNAK,PAVEL ZACHA,MORGAN GEEKIE,HENRI JOKIHARJU,,8477507,8477956,8478401,8479987,8480035,,TYLER TOFFOLI,ALEXANDER WENNBERG,MARIO FERRARO,SHAKIR MUKHAMADULLIN,COLLIN GRAF,,8475726,8477505,8479983,8482166,8484911,,JOONAS KORPISALO,ALEXANDAR GEORGIEV,8476914,8480382
5,5v5,NIKITA ZADOROV,DAVID PASTRNAK,PAVEL ZACHA,MORGAN GEEKIE,HENRI JOKIHARJU,,8477507,8477956,8478401,8479987,8480035,,TYLER TOFFOLI,ALEXANDER WENNBERG,MARIO FERRARO,SHAKIR MUKHAMADULLIN,COLLIN GRAF,,8475726,8477505,8479983,8482166,8484911,,JOONAS KORPISALO,ALEXANDAR GEORGIEV,8476914,8480382
6,5v5,NIKITA ZADOROV,DAVID PASTRNAK,PAVEL ZACHA,MORGAN GEEKIE,HENRI JOKIHARJU,,8477507,8477956,8478401,8479987,8480035,,TYLER TOFFOLI,ALEXANDER WENNBERG,MARIO FERRARO,SHAKIR MUKHAMADULLIN,COLLIN GRAF,,8475726,8477505,8479983,8482166,8484911,,JOONAS KORPISALO,ALEXANDAR GEORGIEV,8476914,8480382
7,5v5,NIKITA ZADOROV,DAVID PASTRNAK,PAVEL ZACHA,MORGAN GEEKIE,HENRI JOKIHARJU,,8477507,8477956,8478401,8479987,8480035,,TYLER TOFFOLI,ALEXANDER WENNBERG,MARIO FERRARO,SHAKIR MUKHAMADULLIN,COLLIN GRAF,,8475726,8477505,8479983,8482166,8484911,,JOONAS KORPISALO,ALEXANDAR GEORGIEV,8476914,8480382
8,5v5,NIKITA ZADOROV,DAVID PASTRNAK,PAVEL ZACHA,MORGAN GEEKIE,HENRI JOKIHARJU,,8477507,8477956,8478401,8479987,8480035,,TYLER TOFFOLI,ALEXANDER WENNBERG,MARIO FERRARO,SHAKIR MUKHAMADULLIN,COLLIN GRAF,,8475726,8477505,8479983,8482166,8484911,,JOONAS KORPISALO,ALEXANDAR GEORGIEV,8476914,8480382
9,5v5,NIKITA ZADOROV,DAVID PASTRNAK,PAVEL ZACHA,MORGAN GEEKIE,HENRI JOKIHARJU,,8477507,8477956,8478401,8479987,8480035,,TYLER TOFFOLI,ALEXANDER WENNBERG,MARIO FERRARO,SHAKIR MUKHAMADULLIN,COLLIN GRAF,,8475726,8477505,8479983,8482166,8484911,,JOONAS KORPISALO,ALEXANDAR GEORGIEV,8476914,8480382
