Player,ID,Position,Handedness,Height (in),Weight (lbs),Birthday,Nationality
,8471821.0,R,L,70.0,181.0,1986-11-22,CAN
,8476206.0,C,L,67.0,169.0,1988-04-15,USA
,8481699.0,R,R,72.0,170.0,2001-07-05,FIN
,8483763.0,D,L,75.0,215.0,2002-08-25,POL
,8484326.0,D,L,73.0,190.0,1996-12-08,SVK
,8483045.0,R,R,76.0,215.0,2002-06-09,CAN
,8482165.0,D,L,76.0,209.0,2002-03-09,RUS
,8484259.0,C,L,74.0,205.0,2000-08-29,CZE
,8478956.0,L,L,74.0,206.0,1997-04-10,CAN
,8481578.0,R,R,72.0,175.0,2001-04-24,USA
,8482162.0,L,L,74.0,184.0,2002-08-08,FIN
,8484314.0,L,L,76.0,209.0,1996-11-05,CZE
,8483401.0,R,R,72.0,179.0,1996-06-19,USA
,8483012.0,C,R,72.0,180.0,2002-07-09,CAN
,8482445.0,G,L,77.0,192.0,1997-05-25,USA
,8482784.0,C,L,72.0,176.0,2003-01-04,CAN
,8477035.0,G,L,76.0,191.0,1994-06-19,CAN
,8484325.0,C,R,75.0,210.0,1998-07-06,FIN
,8482141.0,D,L,71.0,190.0,2002-03-27,CAN
,8479522.0,D,L,75.0,198.0,1998-07-04,SWE
,8482411.0,G,L,72.0,215.0,1995-11-07,USA
,8483920.0,R,R,69.0,172.0,2001-01-07,FRA
,8482178.0,D,R,75.0,203.0,2002-01-04,USA
,8483482.0,D,R,73.0,202.0,2004-01-12,CAN
,8485512.0,C,L,75.0,215.0,2001-08-25,USA
,8481558.0,C,R,71.0,197.0,2001-02-14,USA
,8482213.0,C,R,73.0,174.0,2002-01-25,USA
,8482763.0,R,R,71.0,181.0,2003-01-19,SWE
,8483017.0,D,L,75.0,196.0,2003-08-21,CAN
,8481564.0,D,L,73.0,195.0,2001-07-24,USA
,8483500.0,C,L,71.0,175.0,2004-03-11,SWE
,8480291.0,C,L,74.0,195.0,1999-07-27,USA
,8481562.0,D,L,69.0,175.0,2001-09-07,USA
,8482785.0,C,R,68.0,176.0,2003-03-13,USA
,8484929.0,L,L,72.0,210.0,1998-02-09,FIN
,8482744.0,L,L,69.0,193.0,2003-05-31,CAN
,8483432.0,C,L,73.0,185.0,2003-11-10,CAN
,8483538.0,C,L,70.0,182.0,1997-09-23,CAN
,8485469.0,R,R,71.0,185.0,2002-03-02,USA
,8482209.0,C,L,70.0,175.0,2002-04-12,CAN
,8484150.0,D,R,72.0,190.0,2004-11-29,USA
,8484180.0,L,L,76.0,186.0,2004-11-12,SVK
,8484234.0,L,L,74.0,198.0,2004-11-16,RUS
,8484768.0,D,R,72.0,179.0,2006-02-15,CAN
,8484821.0,C,L,72.0,185.0,1999-07-28,USA
,8482700.0,D,L,74.0,195.0,2003-04-28,CAN
,8483450.0,C,R,73.0,174.0,2003-10-21,CAN
,8483506.0,D,R,76.0,177.0,2004-06-25,USA
,8484197.0,C,L,71.0,188.0,2005-01-22,USA
,8479746.0,L,L,71.0,185.0,1998-08-05,CAN
,8481737.0,C,R,73.0,182.0,2000-10-07,CAN
,8482507.0,L,L,71.0,180.0,2002-01-09,USA
,8483569.0,D,L,72.0,201.0,1997-11-22,USA
,8483930.0,C,L,72.0,190.0,2002-08-20,CZE
,8484221.0,C,R,74.0,185.0,2005-01-21,CAN
,8484255.0,R,R,72.0,198.0,1999-06-17,USA
,8484976.0,L,L,69.0,183.0,1998-03-17,FIN
,8485105.0,C,L,73.0,194.0,2004-02-20,RUS
,8484829.0,C,L,71.0,195.0,2001-02-23,CAN
,8484938.0,R,R,75.0,214.0,2001-04-06,FIN
,8481491.0,C,R,75.0,198.0,1998-08-31,CAN
,8483512.0,C,R,69.0,179.0,2004-01-01,CAN
,8485511.0,R,R,71.0,170.0,2002-01-01,USA
,8481732.0,L,L,77.0,206.0,2000-07-26,SWE
,8483406.0,R,R,74.0,207.0,1998-03-31,CAN
,8480075.0,D,R,75.0,182.0,1999-05-05,CAN
,8482094.0,D,L,73.0,201.0,2002-05-15,CAN
,8482661.0,G,L,75.0,214.0,2002-11-14,SWE
,8482829.0,L,L,71.0,185.0,2002-09-21,CAN
,8482733.0,D,R,75.0,213.0,2003-04-15,CAN
,8482775.0,C,R,74.0,194.0,2003-07-29,SWE
,8484984.0,R,L,73.0,192.0,2005-12-10,RUS
,8481536.0,D,L,75.0,176.0,2000-10-20,BLR
,8481594.0,R,R,72.0,200.0,2001-01-11,CAN
,8483429.0,D,R,70.0,162.0,2004-01-08,USA
,8483531.0,L,R,72.0,207.0,1999-01-11,USA
,8482103.0,R,R,70.0,183.0,2002-03-09,CAN
,8482715.0,D,R,72.0,174.0,2003-05-07,USA
,8483465.0,R,R,71.0,182.0,2004-04-27,FIN
,8484241.0,R,R,77.0,205.0,2005-02-06,CAN
,8483448.0,D,L,73.0,196.0,2004-02-15,CAN
,8484210.0,R,L,71.0,178.0,2005-05-07,CAN
,8481065.0,L,L,70.0,183.0,1999-10-02,CAN
,8482131.0,D,L,74.0,221.0,2002-01-12,CAN
,8481848.0,C,R,75.0,185.0,2001-03-09,CAN
,8482169.0,D,R,76.0,205.0,2002-05-10,SWE
,8482783.0,G,L,73.0,185.0,2002-01-04,BLR
,8483461.0,R,R,74.0,199.0,2004-01-10,USA
,8484779.0,C,R,71.0,180.0,2006-08-21,CAN
,8485483.0,L,L,73.0,194.0,2002-09-17,USA
,8479594.0,D,R,74.0,193.0,1998-05-08,USA
,8481030.0,D,R,76.0,205.0,1999-07-22,USA
,8482102.0,C,L,70.0,180.0,2002-03-13,RUS
,8482446.0,G,L,75.0,200.0,2002-01-10,FIN
,8482758.0,R,L,71.0,161.0,2003-06-13,FIN
,8483487.0,R,L,73.0,203.0,2004-03-30,USA
,8483503.0,D,L,77.0,200.0,2004-01-27,CAN
,8482751.0,C,R,74.0,175.0,2003-09-04,CAN
,8482866.0,D,R,77.0,210.0,2002-08-12,FIN
,8482874.0,R,R,72.0,207.0,2003-04-22,CAN
,8482144.0,D,R,73.0,189.0,2002-03-19,CAN
,8482206.0,R,R,71.0,180.0,2002-08-30,CAN
,8483481.0,C,R,74.0,195.0,2004-06-07,USA
,8484152.0,D,L,69.0,180.0,2004-12-21,CAN
,8483516.0,R,R,73.0,186.0,2004-06-01,USA
,8484164.0,R,L,73.0,201.0,2005-06-15,SVK
,8481719.0,D,R,75.0,198.0,2000-04-19,CAN
,8482090.0,C,R,78.0,220.0,2002-09-02,USA
,8482663.0,L,L,70.0,177.0,2003-03-04,USA
,8483398.0,D,L,75.0,192.0,2000-05-18,USA
,8483447.0,C,L,76.0,207.0,2004-05-05,CAN
,8483489.0,C,L,74.0,195.0,2004-07-05,CAN
,8484901.0,C,L,73.0,204.0,2002-02-02,CAN
,8483472.0,D,R,78.0,196.0,2004-01-13,CAN
,8483467.0,D,L,71.0,200.0,2004-02-05,RUS
,8484406.0,C,L,71.0,185.0,2003-02-26,CAN
,8482787.0,R,L,70.0,170.0,2003-02-16,RUS
,8483471.0,C,R,73.0,173.0,2003-12-19,FIN
,8484135.0,C,R,69.0,181.0,2000-07-20,USA
,8483491.0,L,R,73.0,185.0,2004-02-04,RUS
,8483532.0,G,L,76.0,195.0,1999-03-03,CAN
,8484186.0,R,R,72.0,192.0,2005-01-21,USA
