id,franchiseId,fullName,leagueId,rawTricode,triCode,logo_light,logo_dark,Location,Division,Primary Color,Secondary Color,P2,S2,P3,S3
24,32,Anaheim Ducks,133,ANA,ANA,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg,https://assets.nhle.com/logos/nhl/svg/ANA_dark.svg,Anaheim,Pacific,#F47A38,#B9975B,#FF9860,#C8B07E,#FFB688,#D7C9A1
53,28,Arizona Coyotes,133,ARI,ARI,https://assets.nhle.com/logos/nhl/svg/ARI_light.svg,https://assets.nhle.com/logos/nhl/svg/ARI_dark.svg,Arizona,Central,#8C2633,#E2D6B5,#A0445B,#F1EFD8,#B46283,#FFFFFF
47,21,Atlanta Flames,133,AFM,AFM,https://assets.nhle.com/logos/nhl/svg/AFM_light.svg,https://assets.nhle.com/logos/nhl/svg/AFM_dark.svg,,,,,,,,
11,35,Atlanta Thrashers,133,ATL,ATL,https://assets.nhle.com/logos/nhl/svg/ATL_light.svg,https://assets.nhle.com/logos/nhl/svg/ATL_dark.svg,Atlanta,Southeast,#5C88DA,#FFA300,#70A6FF,#FFBC23,#84C4127,#FFD546
6,6,Boston Bruins,133,BOS,BOS,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg,https://assets.nhle.com/logos/nhl/svg/BOS_dark.svg,Boston,Atlantic,#FFB81C,#FFFFFF,#FFD644,#D7D7D7,#FFF46C,#AFAFAF
51,8,Brooklyn Americans,133,BRK,BRK,https://assets.nhle.com/logos/nhl/svg/BRK_light.svg,https://assets.nhle.com/logos/nhl/svg/BRK_dark.svg,,,,,,,,
7,19,Buffalo Sabres,133,BUF,BUF,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg,https://assets.nhle.com/logos/nhl/svg/BUF_dark.svg,Buffalo,Atlantic,#003087,#FFB81C,#144EAF,#FFD13F,#286CD7,#FFEA62
20,21,Calgary Flames,133,CGY,CGY,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg,https://assets.nhle.com/logos/nhl/svg/CGY_dark.svg,Calgary,Pacific,#D2001C,#FAAF19,#E61E44,#FFC83C,#FA3C6C,#FFE15F
56,13,California Golden Seals,133,CGS,CGS,https://assets.nhle.com/logos/nhl/svg/CGS_light.svg,https://assets.nhle.com/logos/nhl/svg/CGS_dark.svg,,,,,,,,
12,26,Carolina Hurricanes,133,CAR,CAR,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg,https://assets.nhle.com/logos/nhl/svg/CAR_dark.svg,Carolina,Metropolitan,#CE1126,#A4A9AD,#E22F4E,#B3C2D0,#F64D76,#C2DBF3
16,11,Chicago Blackhawks,133,CHI,CHI,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg,https://assets.nhle.com/logos/nhl/svg/CHI_dark.svg,Chicago,Central,#CF0A2C,#FFFFFF,#E32854,#D7D7D7,#F7467C,#AFAFAF
49,13,Cleveland Barons,133,CLE,CLE,https://assets.nhle.com/logos/nhl/svg/CLE_light.svg,https://assets.nhle.com/logos/nhl/svg/CLE_dark.svg,,,,,,,,
21,27,Colorado Avalanche,133,COL,COL,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,https://assets.nhle.com/logos/nhl/svg/COL_dark.svg,Colorado,Central,#6F263D,#236192,#834465,#327AB5,#97628D,#4193D8
35,23,Colorado Rockies,133,CLR,CLR,https://assets.nhle.com/logos/nhl/svg/CLR_light.svg,https://assets.nhle.com/logos/nhl/svg/CLR_dark.svg,,,,,,,,
29,36,Columbus Blue Jackets,133,CBJ,CBJ,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,https://assets.nhle.com/logos/nhl/svg/CBJ_dark.svg,Columbus,Metropolitan,#002654,#CE1126,#14447C,#DD2A49,#2862A4,#EC436C
25,15,Dallas Stars,133,DAL,DAL,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg,https://assets.nhle.com/logos/nhl/svg/DAL_dark.svg,Dallas,Central,#006847,#8F8F8C,#14866F,#9EA8AF,#28A497,#ADC1D2
40,12,Detroit Cougars,133,DCG,DCG,https://assets.nhle.com/logos/nhl/svg/DCG_light.svg,https://assets.nhle.com/logos/nhl/svg/DCG_dark.svg,,,,,,,,
50,12,Detroit Falcons,133,DFL,DFL,https://assets.nhle.com/logos/nhl/svg/DFL_light.svg,https://assets.nhle.com/logos/nhl/svg/DFL_dark.svg,,,,,,,,
17,12,Detroit Red Wings,133,DET,DET,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,https://assets.nhle.com/logos/nhl/svg/DET_dark.svg,Detroit,Atlantic,#CE1126,#FFFFFF,#E22F4E,#D7D7D7,#F64D76,#AFAFAF
22,25,Edmonton Oilers,133,EDM,EDM,https://assets.nhle.com/logos/nhl/svg/EDM_light.svg,https://assets.nhle.com/logos/nhl/svg/EDM_dark.svg,Edmonton,Pacific,#041E42,#FF4C00,#183C6A,#FF6523,#2C5A92,#FF7E46
13,33,Florida Panthers,133,FLA,FLA,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg,https://assets.nhle.com/logos/nhl/svg/FLA_dark.svg,Florida,Atlantic,#C8102E,#B9975B,#DC2E56,#C8B07E,#F04C7E,#D7C9A1
37,4,Hamilton Tigers,133,HAM,HAM,https://assets.nhle.com/logos/nhl/svg/HAM_light.svg,https://assets.nhle.com/logos/nhl/svg/HAM_dark.svg,,,,,,,,
34,26,Hartford Whalers,133,HFD,HFD,https://assets.nhle.com/logos/nhl/svg/HFD_light.svg,https://assets.nhle.com/logos/nhl/svg/HFD_dark.svg,,,,,,,,
