player_id,team_abbr,season,headshot,sweater_number,position,heading_position,handedness,height_in,weight_lbs,height_cm,weight_kg,birth_date,birth_country,player_name,player_first_name,player_last_name,birth_city,birth_state_province
8459444,ANA,20072008,https://assets.nhle.com/mugs/nhl/20072008/ANA/8459444.png,4.0,R,F,L,75,229,191,104,1975-02-02,CAN,TODD BERTUZZI,Todd,Bertuzzi,Sudbury,ON
8469666,ANA,20072008,https://assets.nhle.com/mugs/nhl/20072008/ANA/8469666.png,12.0,R,F,R,73,195,185,88,1982-04-04,USA,BRANDON BOCHENSKI,Brandon,Bochenski,Blaine,MN
8473646,ANA,20072008,https://assets.nhle.com/mugs/nhl/20072008/ANA/8473646.png,20.0,C,F,L,73,205,185,93,1983-08-03,USA,RYAN CARTER,Ryan,Carter,White Bear Lake,MN
8473682,ANA,20072008,https://assets.nhle.com/mugs/nhl/20072008/ANA/8473682.png,48.0,C,F,L,69,174,175,79,1983-01-02,CAN,ANDREW EBBETT,Andrew,Ebbett,Vernon,BC
8470612,ANA,20072008,https://assets.nhle.com/mugs/nhl/20072008/ANA/8470612.png,15.0,C,F,R,76,220,193,100,1985-05-10,CAN,RYAN GETZLAF,Ryan,Getzlaf,Regina,SK
8469656,ANA,20072008,https://assets.nhle.com/mugs/nhl/20072008/ANA/8469656.png,42.0,R,F,L,72,193,183,88,1981-09-14,CAN,JASON KING,Jason,King,Corner Brook,NL
8470543,ANA,20072008,https://assets.nhle.com/mugs/nhl/20072008/ANA/8470543.png,14.0,L,F,L,72,188,183,85,1979-09-26,CAN,CHRIS KUNITZ,Chris,Kunitz,Regina,SK
8459587,ANA,20072008,https://assets.nhle.com/mugs/nhl/20072008/ANA/8459587.png,22.0,C,F,L,70,180,178,82,1973-08-12,USA,TODD MARCHANT,Todd,Marchant,Buffalo,NY
8457261,ANA,20072008,https://assets.nhle.com/mugs/nhl/20072008/ANA/8457261.png,24.0,L,F,L,73,213,185,97,1971-11-29,CAN,BRAD MAY,Brad,May,Toronto,ON
8468434,ANA,20072008,https://assets.nhle.com/mugs/nhl/20072008/ANA/8468434.png,19.0,C,F,L,70,175,178,79,1977-08-25,CAN,ANDY MCDONALD,Andy,McDonald,Strathroy,ON
8470778,ANA,20072008,https://assets.nhle.com/mugs/nhl/20072008/ANA/8470778.png,18.0,L,F,L,74,183,188,83,1984-02-17,USA,DREW MILLER,Drew,Miller,Dover,NJ
8468635,ANA,20072008,https://assets.nhle.com/mugs/nhl/20072008/ANA/8468635.png,27.0,L,F,L,74,215,188,98,1982-04-06,CAN,TRAVIS MOEN,Travis,Moen,Stewart Valley,SK
8467323,ANA,20072008,https://assets.nhle.com/mugs/nhl/20072008/ANA/8467323.png,28.0,R,F,R,71,174,180,79,1974-02-16,USA,MARK MOWERS,Mark,Mowers,Decatur,GA
8459427,ANA,20072008,https://assets.nhle.com/mugs/nhl/20072008/ANA/8459427.png,44.0,C,F,L,74,203,188,92,1974-12-28,CAN,ROB NIEDERMAYER,Rob,Niedermayer,Cassiar,BC
8465192,ANA,20072008,https://assets.nhle.com/mugs/nhl/20072008/ANA/8465192.png,26.0,C,F,L,72,202,183,92,1977-12-17,SWE,SAMUEL PAHLSSON,Samuel,Pahlsson,Ange,
